"产品/服务名称","价格（人民币）","计价单位","付费模式","目标人群","是否AI驱动","来源链接","备注","来源等级"
"贝达英语 欧美外教1v1","110-140","元/25分钟","按课时","4-16岁少儿","否（真人外教）","http://m.szhome.com/520-520070-detail-178669373.html","132学时7980元（18个月）","P3"
"italki 社区导师","约7+","元/节","按课时","全年龄语言学习者","否（真人外教）","https://m.3h3.com/az/327206.html","$1/节起换算人民币","P3"
"italki 专业教师","36-216","元/节","按课时","全年龄语言学习者","否（真人外教）","https://m.3h3.com/az/327206.html","$5-30/节换算人民币","P3"
"新东方 雅思录播课（7分自学版）","3680","元","课包（375课时）","有英语基础的雅思考生","否","http://landwave.tantuw.com/m/news/548.html","录播课","P2"
"新东方 雅思录播课（旗舰版）","5300","元","课包（423课时）","有英语基础的雅思考生","否","http://landwave.tantuw.com/m/news/548.html","旗舰版含更多服务","P2"
"新东方 雅思直播课（30天）","6100","元","课包（100课时）","时间紧迫的雅思考生","否","http://landwave.tantuw.com/m/news/548.html","直播互动溢价","P2"
"新东方 雅思VIP小班","22300-39800","元","课包（126-132课时）","预算充足的考生","否","http://landwave.tantuw.com/m/news/548.html http://m.toutiao.com/group/7550875610298597938/","VIP小班价格区间","P2"
"新东方 雅思1v1","300-800","元/小时","课时","冲刺高分考生","否","http://landwave.tantuw.com/m/news/548.html","视师资定价","P2"
"新东方 雅思口语专项","510","元/课时","课时","口语专项提分考生","否","http://m.toutiao.com/group/7550875610298597938/","口语专项培训价格锚点","P3"
"新东方 雅思短期集训营","25000-26000","元","课包（160课时）","短时间集中提分的考生","否","http://landwave.tantuw.com/m/news/548.html","封闭式集训","P2"
"学为贵 雅思1v1","600-900","元/节","课时","各基础阶段雅思考生","否","https://guixue.tantuw.com/m/hot/1829.html","学为贵高端1v1价格","P2"
"学为贵 雅思4-6人小班","10800-16800","元","课包","预算中等的考生","否","https://m.tantuw.com/sjz/Schoolnews/3316_804715","人数越少单价越高","P2"
"小站雅思 综合课程","约9000","元/年","年费","预算有限的雅思考生","否","http://m.toutiao.com/group/7550875610298597938/","定位性价比","P3"
"多次元雅思 1v1陪练","500","元/课时","课时","口语专项提分考生","否","http://m.toutiao.com/group/7550875610298597938/","口语专项陪练中位价","P3"
"EF英孚 成人英语年费","20000-30000","元/年","年费","成人/职场人士","否","https://center.ef.com.cn/blog/article/2025-07-english-fee","月均1500-2500","P0"
"EF英孚 企业培训人均","8000-15000","元/年","人均年费","企业批量采购的员工","否","https://center.ef.com.cn/course-overview/course-overview-b/","推断；基于零售价+批量折扣","推断"
"华尔街英语（已关停）","20000-40000","元/年","年费","成人/职场英语","否","http://m.toutiao.com/group/6997964035857580558/","2021年9月关停；历史价格参考","P3"
"卡耐基《高效沟通》培训班","3980","元/期","课程","想改善沟通的职场人士","否","https://m.91goodschool.com/course/964-20715.html","小班线下课","P2"
"卡耐基 演讲艺术班","3800","元/期","课程","提升公开演讲的职场人士","否","https://m.tantuw.com/cq/Schoolnews/3932_815104","线下班","P2"
"卡耐基 综合课程","3000-9000","元","课程","职场人士","否","https://m.tantuw.com/cq/Schoolnews/3932_822259","区域加盟校定价","P2"
"卡耐基 企业内训","10000","元/班","课程","企业批量培训","否","https://m.91goodschool.com/course/2996-74578.html","大班起价","P2"
"DDI英跃 领导力标准版","425","元/人课","人均课程","企业中层管理者","否（企业培训）","https://www.transtalent.cn/price.html","线上闭环课程","P0"
"DDI英跃 领导力高级版","530","元/人课","人均课程","需刻意练习的管理者","否（企业培训）","https://www.transtalent.cn/price.html","情景模拟增多所以溢价","P0"
"DDI英跃 专项训练营","12000","元/班","课程包（15人）","企业团队","否（企业培训）","https://www.transtalent.cn/price.html","人均799元；7天运营+1v1作业辅导","P0"
"DDI英跃 企业囤课套餐","50000","元/年","年费","中大型企业","否（企业培训）","https://www.transtalent.cn/price.html","大客户采购门槛","P0"
"Toastmasters（头马） 新会员入会费","约144","元","一次性","提升演讲与领导力的职场人士","否（非营利互助）","https://m.book118.com/html/2024/0320/6150122113010103.shtm","$20换算人民币","P2"
"Toastmasters（头马） 半年会费","约400","元/半年","半年费","提升演讲与领导力的职场人士","否（非营利互助）","https://m.book118.com/html/2024/0320/6150122113010103.shtm","中国大区实际执行价；年费约800元","P2"
"Toastmasters（头马） 访客参会","20","元/次","单次","非会员体验者","否","https://yujiangenghao.huodongxing.com/event/9778020095114","体验价格","P3"
"非暴力沟通 线上入门课","几百-几千","元","课程","需提升冲突管理能力的职场人士","否","http://www.first-priority.com.cn/index/About/detail.html?id=961","线上入门课价格下限-上限","P3"
"非暴力沟通 认证级连续培训","约10000+","元","课程","需系统提升冲突管理能力的职场人士","否","https://www.sohu.com/a/294416707_771790","线下工作坊认证项目；推断与卡耐基同档","推断"
"ICF 职场沟通力认证训练营（线下2天）","2985","元/2天","一次性（线下训练营）","企业管理者/职场人士","否","https://icucp.com/archives/71950","原价3980元，特惠价2985元","P3"
"卡耐基领导力口才特训营（线下小班）","4980","元/班","一次性（面授小班）","职场人士/管理者","否","https://m.91goodschool.com","面授小班起价","P2"
"职场沟通力线上录播课","199.9","元/7讲","一次性购买（录播）","职场人士","否","https://ke.book118.com/course/2228","线上入门录播","P3"
